cy_id,Days above 18,Days below 15,Days above 25,Days below -2,Days with $\geq 1$ hour above 18,Days below with max temp below 15,Averaged temperature distance,Averaged temp difference above 18,Averaged temp difference below 15,Hourly temperature variation,Annual average temperature,Daily temperature variation,Monthly temperature variation,Hottest temperature,Coldest temperature,# consecutive days above 20,# consecutive days below 0,cluster,is_centroid,selected
2047_BCCS_SP126,86.0,233.0,4.0,3.0,135.0,194.0,6.720788136986302,7.060761366438356,1.816695989726027,7.489377326790683,11.912603842465757,7.024750055185269,6.609367904583625,32.0505,-6.57928,26,5,10,False,False
2048_BCCS_SP126,76.0,223.0,0.0,0.0,141.0,168.0,5.20619401826484,5.738225121004566,1.5980119406392694,5.997006512956283,12.99532213114754,5.554178144938334,5.183246542624486,31.10959,-4.16439,12,3,5,False,False
2049_BCCS_SP126,91.0,240.0,4.0,5.0,132.0,192.0,6.135455803652968,6.527288801369863,1.7307631826484022,6.828424019322419,12.326070561643837,6.4654688573461385,5.9493334211096505,32.17945,-8.44416,9,4,10,False,False
2050_BCCS_SP126,86.0,214.0,8.0,0.0,152.0,168.0,6.017125365296804,6.214100732876712,1.8610338401826485,6.807739625740276,12.704942315068491,6.312857499715058,5.886794052057432,34.2368,-0.74387,14,0,1,False,False
2051_BCCS_SP126,96.0,222.0,7.0,4.0,151.0,168.0,5.69789997716895,5.874575988584475,1.878011912100456,6.574610701926649,13.058123847031965,6.102984290409159,5.600896430323547,32.77042,-5.47307,12,4,1,False,False
2052_BCCS_SP126,106.0,210.0,15.0,3.0,156.0,175.0,6.320044894977169,6.009813289954338,2.2905261415525118,7.261266312484385,13.26575873406193,6.799859618028394,6.4850377127419145,36.69504,-5.76483,16,5,1,False,False
2053_BCCS_SP126,40.0,260.0,0.0,0.0,116.0,203.0,5.704325154109589,7.07383294977169,1.0096519714611871,5.7500252205487055,11.314978788812786,5.316849083324102,4.823782617165106,29.92411,-2.94102,6,2,6,False,False
2054_BCCS_SP126,48.0,250.0,0.0,1.0,102.0,211.0,5.736550960045662,7.086504956621004,1.022774355022831,5.858377819111828,11.30899775,5.473777859286588,5.095450257525701,29.8063,-5.70712,4,3,6,False,False
2055_BCCS_SP126,22.0,277.0,1.0,5.0,90.0,206.0,6.580316030821917,8.337370337899543,0.7504495159817351,6.33045340559431,9.920583001141551,5.971305427153632,5.705106774871517,31.24321,-9.77193,8,6,9,False,False
2056_BCCS_SP126,69.0,242.0,3.0,0.0,122.0,196.0,6.078688162100457,6.836106116438356,1.4988635171232878,6.723390643291969,11.927456798724952,6.314945466146705,5.922255027368662,33.14824,-4.17725,24,7,10,False,False
2057_BCCS_SP126,74.0,229.0,4.0,11.0,138.0,197.0,6.345999012557078,6.941589979452055,1.5853193047945204,7.044759364088208,11.824639597031965,6.623854755183684,6.16089524693363,34.91399,-6.05066,11,16,11,False,False
2058_BCCS_SP126,41.0,270.0,0.0,15.0,87.0,209.0,6.432376182648402,7.955502305936072,0.9258550605022832,6.866675924164323,10.419333938356164,6.525391177042248,6.229295236201621,29.49896,-12.07505,8,15,7,False,False
2059_BCCS_SP126,69.0,222.0,2.0,0.0,152.0,195.0,6.181030174657534,6.89734630022831,1.4530651141552513,6.614212019510369,11.725100053652966,6.177005997034265,5.832990497408678,32.32945,-2.52514,5,2,2,False,False
2060_BCCS_SP126,53.0,271.0,4.0,8.0,104.0,218.0,7.016664485159818,8.339779971461187,1.0864736027397262,6.982652601708913,10.16951692053734,6.631401702555748,6.326682217050205,33.32626,-10.99105,18,7,0,False,False
